date,edit_count,unique_editors,avg_size_change,total_size_change,topic
2001-09-25,1,1,58.0,58.0,Ukraine
2001-10-18,1,1,-73.0,-73.0,Ukraine
2002-01-29,2,2,16.0,32.0,Ukraine
2002-02-25,1,1,-4.0,-4.0,Ukraine
2002-03-04,1,1,-44.0,-44.0,Ukraine
2002-04-02,1,1,-164.0,-164.0,Ukraine
2002-07-11,2,2,0.5,1.0,Ukraine
2002-08-31,2,2,31.5,63.0,Ukraine
2002-09-06,2,2,-22.0,-44.0,Ukraine
2002-09-13,1,1,-186.0,-186.0,Ukraine
2002-09-18,3,2,36.0,108.0,Ukraine
2002-09-27,1,1,-32.0,-32.0,Ukraine
2002-10-25,1,1,-14.0,-14.0,Ukraine
2002-12-18,1,1,-56.0,-56.0,Ukraine
2002-12-19,1,1,-1.0,-1.0,Ukraine
2002-12-24,1,1,-15.0,-15.0,Ukraine
2003-02-06,2,2,-19.0,-38.0,Ukraine
2003-02-21,1,1,7.0,7.0,Ukraine
2003-02-25,1,1,-193.0,-193.0,Ukraine
2003-04-12,1,1,193.0,193.0,Ukraine
2003-04-14,1,1,-8963.0,-8963.0,Ukraine
2003-04-20,1,1,0.0,0.0,Ukraine
2003-05-22,3,2,-63.0,-189.0,Ukraine
2003-06-26,1,1,-16.0,-16.0,Ukraine
2003-07-10,1,1,-48.0,-48.0,Ukraine
2003-07-20,1,1,-38.0,-38.0,Ukraine
2003-08-07,1,1,2.0,2.0,Ukraine
2003-08-10,3,1,-15.666666666666666,-47.0,Ukraine
2003-08-12,1,1,-28.0,-28.0,Ukraine
2003-09-02,2,1,-8.0,-16.0,Ukraine
2003-09-08,3,2,-13.333333333333334,-40.0,Ukraine
2003-09-09,1,1,-101.0,-101.0,Ukraine
2003-09-13,1,1,-90.0,-90.0,Ukraine
2003-09-21,1,1,-112.0,-112.0,Ukraine
2003-10-06,1,1,-33.0,-33.0,Ukraine
2003-10-12,1,1,-95.0,-95.0,Ukraine
2003-10-30,1,1,-14.0,-14.0,Ukraine
2003-11-06,1,1,-2.0,-2.0,Ukraine
2003-11-11,2,2,-120.5,-241.0,Ukraine
2003-11-12,9,3,-18.0,-162.0,Ukraine
2003-11-13,1,1,-13.0,-13.0,Ukraine
2003-11-14,1,1,-72.0,-72.0,Ukraine
2003-11-16,1,1,-39.0,-39.0,Ukraine
2003-11-22,1,1,-23.0,-23.0,Ukraine
2003-11-25,3,2,-138.0,-414.0,Ukraine
2003-11-26,2,1,-27.5,-55.0,Ukraine
2003-12-03,1,1,14.0,14.0,Ukraine
2003-12-04,2,2,4.5,9.0,Ukraine
2003-12-15,3,2,-16.666666666666668,-50.0,Ukraine
2003-12-20,1,1,5.0,5.0,Ukraine
2004-01-04,4,2,9.5,38.0,Ukraine
2004-01-30,1,1,-59.0,-59.0,Ukraine
2004-02-02,1,1,-2.0,-2.0,Ukraine
2004-02-03,1,1,1.0,1.0,Ukraine
2004-02-11,1,1,-18.0,-18.0,Ukraine
2004-02-13,1,1,-57.0,-57.0,Ukraine
2004-02-15,3,3,49.333333333333336,148.0,Ukraine
2004-02-21,1,1,4.0,4.0,Ukraine
2004-02-29,1,1,-28.0,-28.0,Ukraine
2004-03-07,1,1,-11.0,-11.0,Ukraine
2004-03-12,1,1,63.0,63.0,Ukraine
2004-03-15,2,2,-93.5,-187.0,Ukraine
2004-03-16,10,3,-9.9,-99.0,Ukraine
2004-03-18,1,1,-49.0,-49.0,Ukraine
2004-03-25,1,1,-484.0,-484.0,Ukraine
2004-03-26,1,1,5.0,5.0,Ukraine
2004-03-27,2,1,-341.5,-683.0,Ukraine
2004-03-28,3,2,-43.666666666666664,-131.0,Ukraine
2004-03-31,2,1,-61.5,-123.0,Ukraine
2004-04-01,2,1,-102.5,-205.0,Ukraine
2004-04-02,4,4,-3.25,-13.0,Ukraine
2004-04-05,1,1,-18.0,-18.0,Ukraine
2004-04-06,3,2,169.66666666666666,509.0,Ukraine
2004-04-08,1,1,2.0,2.0,Ukraine
2004-04-10,1,1,-15.0,-15.0,Ukraine
2004-04-21,1,1,13.0,13.0,Ukraine
2004-04-22,3,2,-47.0,-141.0,Ukraine
